 ! Model parameters: Teff:
    2411.000
 !
 ! Number of atmosphere layers:
  53

#Layer,Longitude,Latitude,P(bar),T(K),U(m/s),V(m/s),W(Pa/s),W(m/s)

1,-180,0,2.4156e-06,668.47,10811,-140.02,-1.3288e-06,0.071886
2,-180,0,3.4196e-06,672.2,11218,-154.32,-4.7696e-06,0.18329
3,-180,0,4.8408e-06,671.51,11263,-135.38,-8.6952e-06,0.2358
4,-180,0,6.8526e-06,672.67,11229,-152.3,-1.5735e-05,0.30196
5,-180,0,9.7006e-06,674.57,11180,-138.65,-2.4264e-05,0.32985
6,-180,0,1.3732e-05,677.5,11123,-106.77,-3.82e-05,0.36843
7,-180,0,1.944e-05,682.22,11085,-106.08,-5.6801e-05,0.38968
8,-180,0,2.7519e-05,688.43,11036,-106.88,-7.4668e-05,0.36516
9,-180,0,3.8956e-05,696.2,10991,-119.3,-0.00010905,0.38099
10,-180,0,5.5146e-05,705.82,10930,-119.24,-0.00015204,0.38041
11,-180,0,7.8066e-05,717.92,10870,-86.378,-0.00021789,0.39171
12,-180,0,0.00011051,733.16,10765,-80.713,-0.00028715,0.37241
13,-180,0,0.00015644,751.35,10670,-47.727,-0.00039319,0.36916
14,-180,0,0.00022146,771.98,10543,-57.848,-0.00056302,0.38367
15,-180,0,0.0003135,793.5,10377,-24.674,-0.00080505,0.39834
16,-180,0,0.00044379,814.92,10177,-56.668,-0.0011783,0.42297
17,-180,0,0.00062823,834.26,9965,-21.848,-0.0018133,0.47074
18,-180,0,0.00088933,851.42,9753,-38.202,-0.0029867,0.55897
19,-180,0,0.0012589,867.65,9565.9,-8.7578,-0.0050195,0.67628
20,-180,0,0.0017822,883.73,9339.6,-32.161,-0.0085903,0.83272
21,-180,0,0.0025229,901.21,9202.3,-12.011,-0.014499,1.0125
22,-180,0,0.0035714,918.97,9088.6,-12.444,-0.024444,1.2296
23,-180,0,0.0050557,937.31,9103.8,2.9969,-0.040167,1.4558
24,-180,0,0.0071569,956.37,9137.7,-2.429,-0.064849,1.6941
25,-180,0,0.010131,978,9259.9,12.195,-0.10106,1.9071
26,-180,0,0.014342,1004.1,9446.8,7.2628,-0.15262,2.0887
27,-180,0,0.020303,1036.1,9633.8,19.431,-0.22016,2.1964
28,-180,0,0.028741,1074.4,9796.6,31.331,-0.30319,2.2157
29,-180,0,0.040686,1119.7,9911.6,37.624,-0.4037,2.1719
30,-180,0,0.057595,1171.8,9961.6,46.849,-0.52491,2.0878
31,-180,0,0.081532,1228.9,9953.6,56.103,-0.66894,1.971
32,-180,0,0.11542,1289.2,9881.6,70.209,-0.83879,1.8316
